id,polarity
611,positive
612,positive
613,neutral
614,neutral
615,positive
616,neutral
617,negative
618,positive
619,neutral
620,positive
621,positive
622,negative
623,positive
624,negative
625,neutral
626,neutral
627,positive
628,neutral
629,neutral
630,neutral
631,neutral
632,neutral
633,neutral
634,negative
635,neutral
636,positive
637,positive
638,neutral
639,neutral
640,positive
641,neutral
642,neutral
643,neutral
644,neutral
645,positive
646,neutral
647,neutral
648,negative
649,positive
650,positive
651,positive
652,positive
653,neutral
654,positive
655,neutral
656,neutral
657,negative
658,neutral
659,neutral
660,negative
661,neutral
662,neutral
663,neutral
664,positive
665,neutral
666,positive
667,negative
668,positive
669,positive
670,positive
671,neutral
672,positive
673,positive
674,positive
675,neutral
676,neutral
677,neutral
678,neutral
679,neutral
680,positive
681,neutral
682,positive
683,neutral
684,neutral
685,positive
686,neutral
687,positive
688,neutral
689,positive
690,positive
691,neutral
692,neutral
693,positive
694,positive
695,neutral
696,neutral
697,neutral
698,negative
699,neutral
700,neutral
701,neutral
702,neutral
703,negative
704,neutral
705,positive
706,neutral
707,neutral
708,positive
709,neutral
710,neutral
711,neutral
712,neutral
713,neutral
714,neutral
715,neutral
716,positive
717,positive
718,positive
719,positive
720,positive
721,neutral
722,positive
723,neutral
724,neutral
725,positive
726,positive
727,positive
728,neutral
729,neutral
730,neutral
731,neutral
732,neutral
733,positive
734,neutral
735,neutral
736,neutral
737,positive
738,neutral
739,neutral
740,neutral
741,neutral
742,negative
743,neutral
744,neutral
745,neutral
746,neutral
747,neutral
748,neutral
749,positive
750,neutral
751,neutral
752,neutral
753,neutral
754,neutral
755,neutral
756,neutral
757,neutral
758,neutral
759,positive
760,neutral
761,neutral
762,neutral
763,positive
764,neutral
765,neutral
766,neutral
767,neutral
768,positive
769,neutral
770,neutral
771,positive
772,neutral
773,positive
774,neutral
775,neutral
776,neutral
777,neutral
778,negative
779,neutral
780,neutral
781,neutral
782,positive
783,positive
784,neutral
785,neutral
786,neutral
787,neutral
788,neutral
789,neutral
790,neutral
791,neutral
792,neutral
793,positive
794,neutral
795,neutral
796,neutral
797,positive
798,positive
799,neutral
800,positive
801,neutral
802,neutral
803,neutral
804,positive
805,neutral
806,neutral
807,neutral
808,neutral
809,neutral
810,negative
811,neutral
812,neutral
813,neutral
814,negative
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,positive
821,neutral
822,neutral
823,neutral
824,positive
825,positive
826,neutral
827,positive
828,neutral
829,neutral
830,neutral
831,positive
832,neutral
833,positive
834,neutral
835,neutral
836,positive
837,neutral
838,positive
839,neutral
840,positive
841,neutral
842,neutral
843,neutral
844,negative
845,neutral
846,neutral
847,negative
848,neutral
849,neutral
850,neutral
851,neutral
852,neutral
853,positive
854,positive
855,neutral
856,neutral
857,neutral
858,positive
859,neutral
860,positive
861,neutral
862,neutral
863,neutral
864,positive
865,neutral
866,neutral
867,positive
868,positive
869,positive
870,neutral
871,neutral
872,positive
873,positive
874,positive
875,positive
876,neutral
877,positive
878,negative
879,positive
880,negative
881,positive
882,neutral
883,positive
884,neutral
885,neutral
886,neutral
887,positive
888,neutral
889,negative
890,neutral
891,neutral
892,neutral
893,neutral
894,neutral
895,negative
896,neutral
897,neutral
898,positive
899,neutral
900,positive
901,positive
902,neutral
903,positive
904,neutral
905,positive
906,neutral
907,positive
908,neutral
909,neutral
910,neutral
911,positive
912,neutral
913,negative
914,neutral
915,positive
916,positive
917,positive
918,neutral
919,neutral
920,positive
921,positive
922,negative
923,neutral
924,neutral
925,neutral
926,neutral
927,positive
928,positive
929,positive
930,positive
931,neutral
932,neutral
933,neutral
934,neutral
935,neutral
936,positive
937,neutral
938,neutral
939,positive
940,neutral
941,neutral
942,positive
943,neutral
944,neutral
945,neutral
946,neutral
947,positive
948,negative
949,neutral
950,positive
951,negative
952,neutral
953,positive
954,neutral
955,neutral
956,neutral
957,neutral
958,neutral
959,neutral
960,positive
961,neutral
962,negative
963,neutral
964,neutral
965,neutral
966,neutral
967,neutral
968,neutral
969,neutral
970,positive
971,positive
972,neutral
973,positive
974,positive
975,neutral
976,positive
977,neutral
978,neutral
979,neutral
980,negative
981,neutral
982,positive
983,positive
984,positive
985,neutral
986,positive
987,positive
988,positive
989,neutral
990,neutral
991,neutral
992,neutral
993,positive
994,neutral
995,neutral
996,positive
997,positive
998,neutral
999,positive
1000,neutral
1001,neutral
1002,neutral
1003,negative
1004,positive
1005,positive
1006,neutral
1007,positive
1008,positive
1009,positive
1010,negative
1011,positive
1012,positive
1013,neutral
1014,neutral
1015,neutral
1016,neutral
1017,negative
1018,positive
1019,neutral
1020,neutral
1021,neutral
1022,positive
1023,neutral
1024,neutral
1025,neutral
1026,positive
1027,positive
1028,neutral
1029,neutral
1030,positive
1031,negative
1032,neutral
1033,positive
1034,neutral
1035,neutral
1036,neutral
1037,neutral
1038,positive
1039,neutral
1040,neutral
1041,positive
1042,neutral
1043,negative
1044,positive
1045,neutral
1046,neutral
1047,neutral
1048,neutral
1049,positive
1050,neutral
1051,neutral
1052,neutral
1053,negative
1054,negative
1055,neutral
1056,positive
1057,neutral
1058,neutral
1059,neutral
1060,neutral
1061,negative
1062,neutral
1063,positive
1064,positive
1065,neutral
1066,positive
1067,neutral
1068,positive
1069,positive
1070,negative
1071,positive
1072,neutral
1073,positive
1074,neutral
1075,neutral
1076,negative
1077,negative
1078,neutral
1079,neutral
1080,positive
1081,neutral
1082,neutral
1083,positive
1084,neutral
1085,neutral
1086,positive
1087,neutral
1088,neutral
1089,neutral
1090,positive
1091,positive
1092,neutral
1093,positive
1094,neutral
1095,negative
1096,neutral
1097,positive
1098,positive
1099,positive
1100,positive
1101,neutral
1102,neutral
1103,neutral
1104,negative
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,positive
1112,neutral
1113,positive
1114,negative
1115,neutral
1116,neutral
1117,neutral
1118,positive
1119,neutral
1120,negative
1121,positive
1122,neutral
1123,neutral
1124,neutral
1125,positive
1126,neutral
1127,positive
1128,positive
1129,neutral
1130,positive
1131,neutral
1132,neutral
1133,neutral
1134,neutral
1135,positive
1136,neutral
1137,positive
1138,negative
1139,positive
1140,positive
1141,positive
1142,neutral
1143,neutral
1144,neutral
1145,positive
1146,neutral
1147,neutral
1148,positive
1149,neutral
1150,positive
1151,positive
1152,neutral
1153,positive
1154,neutral
1155,positive
1156,neutral
1157,neutral
1158,neutral
1159,positive
1160,neutral
1161,neutral
1162,positive
1163,positive
1164,neutral
1165,negative
1166,neutral
1167,negative
1168,neutral
1169,neutral
1170,neutral
1171,positive
1172,neutral
1173,neutral
1174,positive
1175,neutral
1176,positive
1177,positive
1178,positive
1179,neutral
1180,neutral
1181,positive
1182,positive
1183,neutral
1184,positive
1185,positive
1186,positive
1187,neutral
1188,neutral
1189,neutral
1190,neutral
1191,positive
1192,neutral
1193,positive
1194,positive
1195,neutral
1196,neutral
1197,positive
1198,neutral
1199,positive
1200,neutral
1201,neutral
1202,neutral
1203,positive
1204,neutral
1205,neutral
1206,positive
1207,neutral
1208,neutral
1209,positive
1210,positive
1211,neutral
1212,neutral
1213,neutral
1214,neutral
1215,positive
1216,neutral
1217,neutral
1218,positive
1219,positive
1220,neutral
1221,positive
1222,negative
1223,positive
1224,neutral
1225,neutral
1226,neutral
1227,positive
1228,positive
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,positive
1234,neutral
1235,positive
1236,neutral
1237,positive
1238,neutral
1239,neutral
1240,positive
1241,neutral
1242,neutral
1243,positive
1244,neutral
1245,neutral
1246,neutral
1247,neutral
1248,positive
1249,neutral
1250,neutral
1251,positive
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,negative
1257,neutral
1258,neutral
1259,neutral
1260,neutral
1261,positive
1262,positive
1263,neutral
1264,positive
1265,neutral
1266,neutral
1267,neutral
1268,neutral
1269,neutral
1270,positive
1271,neutral
1272,neutral
1273,neutral
1274,neutral
1275,positive
1276,positive
1277,positive
1278,neutral
1279,neutral
1280,neutral
1281,neutral
1282,neutral
1283,neutral
1284,neutral
1285,neutral
1286,neutral
1287,neutral
1288,neutral
1289,positive
1290,neutral
1291,neutral
1292,positive
1293,neutral
1294,neutral
1295,neutral
1296,negative
1297,neutral
1298,neutral
1299,neutral
1300,neutral
1301,negative
1302,neutral
1303,positive
1304,neutral
1305,negative
1306,positive
1307,positive
1308,neutral
1309,neutral
1310,neutral
1311,positive
1312,neutral
1313,neutral
1314,negative
1315,neutral
1316,positive
1317,neutral
1318,neutral
1319,positive
1320,negative
1321,neutral
1322,neutral
1323,negative
1324,positive
1325,neutral
1326,neutral
1327,negative
1328,neutral
1329,neutral
1330,neutral
1331,neutral
1332,neutral
1333,positive
1334,neutral
1335,neutral
1336,neutral
1337,neutral
1338,neutral
1339,neutral
1340,neutral
1341,positive
1342,positive
1343,positive
1344,neutral
1345,neutral
1346,neutral
1347,neutral
1348,neutral
1349,positive
1350,neutral
1351,neutral
1352,positive
1353,negative
1354,neutral
1355,neutral
1356,positive
1357,negative
1358,positive
1359,positive
1360,positive
1361,negative
1362,neutral
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,neutral
1370,neutral
1371,negative
1372,neutral
1373,negative
1374,positive
1375,positive
1376,neutral
1377,neutral
1378,positive
1379,positive
1380,neutral
1381,neutral
1382,positive
1383,neutral
1384,positive
1385,neutral
1386,neutral
1387,positive
1388,neutral
1389,neutral
1390,neutral
1391,neutral
1392,neutral
1393,negative
1394,negative
1395,negative
1396,positive
1397,neutral
1398,neutral
1399,positive
1400,neutral
1401,neutral
1402,positive
1403,neutral
1404,neutral
1405,neutral
1406,negative
1407,neutral
1408,positive
1409,neutral
1410,negative
1411,neutral
1412,positive
1413,neutral
1414,neutral
1415,positive
1416,neutral
1417,positive
1418,negative
1419,positive
1420,neutral
1421,neutral
1422,neutral
1423,positive
1424,neutral
1425,positive
1426,neutral
1427,positive
1428,positive
1429,neutral
1430,positive
1431,negative
1432,positive
1433,negative
1434,neutral
1435,positive
1436,neutral
1437,neutral
1438,positive
1439,neutral
1440,neutral
1441,neutral
1442,neutral
1443,neutral
1444,neutral
1445,neutral
1446,negative
1447,positive
1448,neutral
1449,positive
1450,neutral
1451,positive
1452,positive
1453,neutral
1454,positive
1455,neutral
1456,neutral
1457,negative
1458,neutral
1459,neutral
1460,neutral
1461,positive
1462,neutral
1463,neutral
1464,neutral
1465,positive
1466,neutral
1467,positive
1468,neutral
1469,neutral
1470,positive
1471,neutral
1472,neutral
1473,neutral
1474,positive
1475,neutral
1476,positive
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,positive
1483,neutral
1484,neutral
1485,neutral
1486,neutral
1487,positive
1488,negative
1489,neutral
1490,neutral
1491,positive
1492,neutral
1493,positive
1494,negative
1495,neutral
1496,negative
1497,neutral
1498,neutral
1499,positive
1500,positive
1501,positive
1502,neutral
1503,neutral
1504,neutral
1505,neutral
1506,neutral
1507,positive
1508,positive
1509,neutral
1510,positive
1511,neutral
1512,neutral
1513,neutral
1514,neutral
1515,neutral
1516,positive
1517,neutral
1518,positive
1519,positive
1520,positive
1521,negative
1522,neutral
1523,neutral
1524,neutral
1525,neutral
1526,negative
1527,positive
1528,neutral
1529,positive
1530,neutral
1531,neutral
1532,neutral
1533,negative
1534,neutral
1535,neutral
1536,negative
1537,neutral
1538,neutral
1539,neutral
1540,neutral
1541,neutral
1542,neutral
1543,positive
1544,neutral
1545,neutral
1546,positive
1547,neutral
1548,neutral
1549,positive
1550,neutral
1551,positive
1552,neutral
1553,neutral
1554,positive
1555,neutral
1556,positive
1557,positive
1558,positive
1559,positive
1560,positive
1561,negative
1562,neutral
1563,neutral
1564,negative
1565,positive
1566,positive
1567,neutral
1568,neutral
1569,negative
1570,negative
1571,neutral
1572,positive
1573,neutral
1574,neutral
1575,neutral
1576,neutral
1577,positive
1578,negative
1579,negative
1580,positive
1581,neutral
1582,neutral
1583,positive
1584,neutral
1585,neutral
1586,neutral
1587,neutral
1588,neutral
1589,negative
1590,neutral
1591,neutral
1592,neutral
1593,neutral
1594,negative
1595,positive
1596,neutral
1597,positive
1598,positive
1599,positive
1600,neutral
1601,neutral
1602,neutral
1603,positive
1604,positive
1605,neutral
1606,positive
1607,positive
1608,negative
1609,neutral
1610,neutral
1611,neutral
1612,neutral
1613,neutral
1614,neutral
1615,neutral
1616,positive
1617,positive
1618,neutral
1619,positive
1620,neutral
1621,neutral
1622,positive
1623,neutral
1624,neutral
1625,neutral
1626,neutral
1627,positive
1628,positive
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,negative
1634,neutral
1635,positive
1636,neutral
1637,neutral
1638,neutral
1639,neutral
1640,neutral
1641,positive
1642,positive
1643,neutral
1644,positive
1645,neutral
1646,neutral
1647,positive
1648,positive
1649,neutral
1650,neutral
1651,positive
1652,neutral
1653,neutral
1654,positive
1655,positive
1656,neutral
1657,neutral
1658,neutral
1659,neutral
1660,positive
1661,neutral
1662,positive
1663,neutral
1664,positive
1665,neutral
1666,neutral
1667,neutral
1668,neutral
1669,neutral
1670,negative
1671,positive
1672,neutral
1673,neutral
1674,neutral
1675,neutral
1676,neutral
1677,neutral
1678,neutral
1679,positive
1680,positive
1681,positive
1682,positive
1683,positive
1684,positive
1685,neutral
1686,positive
1687,positive
1688,neutral
1689,neutral
1690,positive
1691,neutral
1692,neutral
1693,positive
1694,positive
1695,neutral
1696,positive
1697,positive
1698,neutral
1699,neutral
1700,neutral
1701,positive
1702,positive
1703,neutral
1704,neutral
1705,neutral
1706,neutral
1707,neutral
1708,neutral
1709,neutral
1710,neutral
1711,negative
1712,neutral
1713,positive
1714,neutral
1715,neutral
1716,neutral
1717,positive
1718,positive
1719,positive
1720,positive
1721,positive
1722,neutral
1723,neutral
1724,positive
1725,positive
1726,neutral
1727,neutral
1728,positive
1729,neutral
1730,positive
1731,positive
1732,neutral
1733,neutral
1734,neutral
1735,positive
1736,neutral
1737,neutral
1738,positive
1739,neutral
1740,neutral
1741,neutral
1742,neutral
1743,positive
1744,neutral
1745,positive
1746,neutral
1747,neutral
1748,positive
1749,neutral
1750,neutral
1751,neutral
1752,neutral
1753,neutral
1754,neutral
1755,positive
1756,neutral
1757,neutral
1758,positive
1759,neutral
1760,positive
1761,neutral
1762,positive
1763,neutral
1764,positive
1765,positive
1766,neutral
1767,neutral
1768,neutral
1769,negative
1770,positive
1771,positive
1772,negative
1773,positive
1774,positive
1775,positive
1776,neutral
1777,neutral
1778,neutral
1779,negative
1780,neutral
1781,neutral
1782,neutral
1783,neutral
1784,neutral
1785,neutral
1786,neutral
1787,neutral
1788,neutral
1789,neutral
1790,neutral
1791,neutral
1792,neutral
1793,neutral
1794,positive
1795,neutral
1796,neutral
1797,neutral
1798,neutral
1799,neutral
1800,neutral
1801,neutral
1802,neutral
1803,neutral
1804,positive
1805,neutral
1806,neutral
1807,neutral
1808,positive
1809,neutral
1810,neutral
1811,neutral
1812,positive
1813,negative
1814,positive
1815,positive
1816,neutral
1817,positive
1818,neutral
1819,negative
1820,neutral
1821,positive
1822,negative
1823,neutral
1824,positive
1825,neutral
1826,negative
1827,positive
1828,positive
1829,neutral
1830,positive
1831,positive
1832,neutral
1833,neutral
1834,neutral
1835,positive
1836,neutral
1837,neutral
1838,positive
1839,neutral
1840,neutral
1841,neutral
1842,neutral
1843,neutral
1844,neutral
1845,positive
1846,neutral
1847,neutral
1848,negative
1849,neutral
1850,positive
1851,neutral
1852,neutral
1853,positive
1854,neutral
1855,positive
1856,positive
1857,neutral
1858,positive
1859,neutral
1860,neutral
1861,neutral
1862,positive
1863,neutral
1864,positive
1865,positive
1866,neutral
1867,positive
1868,positive
1869,neutral
1870,positive
1871,positive
1872,positive
1873,neutral
1874,neutral
1875,positive
1876,neutral
1877,positive
1878,positive
1879,positive
1880,neutral
1881,positive
1882,neutral
1883,neutral
1884,positive
1885,neutral
1886,positive
1887,positive
1888,neutral
1889,neutral
1890,neutral
1891,positive
1892,neutral
1893,neutral
1894,positive
1895,neutral
1896,positive
1897,neutral
1898,neutral
1899,positive
1900,neutral
1901,positive
1902,negative
1903,neutral
1904,positive
1905,neutral
1906,neutral
1907,positive
1908,neutral
1909,neutral
1910,neutral
1911,positive
1912,neutral
1913,positive
1914,neutral
1915,neutral
1916,neutral
1917,neutral
1918,neutral
1919,neutral
1920,positive
1921,neutral
1922,positive
1923,negative
1924,positive
1925,neutral
1926,positive
1927,neutral
1928,neutral
1929,positive
1930,positive
1931,neutral
1932,neutral
1933,neutral
1934,positive
1935,positive
1936,positive
1937,neutral
1938,positive
1939,neutral
1940,neutral
1941,neutral
1942,neutral
1943,positive
1944,neutral
1945,neutral
1946,positive
1947,positive
1948,neutral
1949,neutral
1950,neutral
1951,neutral
1952,neutral
1953,neutral
1954,neutral
1955,neutral
1956,negative
1957,positive
1958,positive
1959,neutral
1960,positive
1961,neutral
1962,negative
1963,neutral
1964,positive
1965,positive
1966,positive
1967,negative
1968,neutral
1969,neutral
1970,neutral
1971,negative
1972,neutral
1973,negative
1974,neutral
1975,positive
1976,negative
1977,neutral
1978,positive
1979,neutral
1980,neutral
1981,positive
1982,neutral
1983,positive
1984,neutral
1985,neutral
1986,neutral
1987,neutral
1988,positive
1989,neutral
1990,neutral
1991,positive
1992,positive
1993,neutral
1994,neutral
1995,neutral
1996,neutral
1997,positive
1998,positive
1999,neutral
2000,neutral
2001,positive
2002,positive
2003,neutral
2004,neutral
2005,neutral
2006,neutral
2007,neutral
2008,positive
2009,neutral
2010,neutral
2011,negative
2012,positive
2013,neutral
2014,positive
2015,positive
2016,neutral
2017,neutral
2018,positive
2019,neutral
2020,positive
2021,positive
2022,neutral
2023,positive
2024,neutral
2025,neutral
2026,neutral
2027,positive
2028,neutral
2029,positive
2030,positive
2031,negative
2032,neutral
2033,neutral
2034,positive
2035,negative
2036,neutral
2037,neutral
2038,positive
2039,neutral
2040,positive
2041,neutral
2042,neutral
2043,positive
2044,positive
2045,neutral
2046,neutral
2047,neutral
2048,positive
2049,negative
2050,neutral
2051,negative
2052,neutral
2053,positive
2054,positive
2055,neutral
2056,neutral
2057,positive
2058,neutral
2059,negative
2060,positive
2061,positive
2062,positive
2063,neutral
2064,neutral
2065,neutral
2066,neutral
2067,neutral
2068,neutral
2069,positive
2070,positive
2071,positive
2072,neutral
2073,neutral
2074,neutral
2075,positive
2076,neutral
2077,positive
2078,positive
2079,negative
2080,positive
2081,positive
2082,negative
2083,neutral
2084,neutral
2085,neutral
2086,neutral
2087,positive
2088,neutral
2089,neutral
2090,neutral
2091,positive
2092,neutral
2093,positive
2094,positive
2095,neutral
2096,neutral
2097,positive
2098,neutral
2099,neutral
2100,positive
2101,positive
2102,neutral
2103,neutral
2104,neutral
2105,neutral
2106,positive
2107,positive
2108,positive
2109,neutral
2110,neutral
2111,neutral
2112,positive
2113,neutral
2114,neutral
2115,positive
2116,neutral
2117,neutral
2118,positive
2119,negative
2120,positive
2121,positive
2122,neutral
2123,neutral
2124,positive
2125,positive
2126,neutral
2127,neutral
2128,neutral
2129,neutral
2130,neutral
2131,neutral
2132,positive
2133,positive
2134,positive
2135,positive
2136,neutral
2137,neutral
2138,neutral
2139,positive
2140,neutral
2141,negative
2142,neutral
2143,neutral
2144,negative
2145,neutral
2146,neutral
2147,positive
2148,neutral
2149,neutral
2150,positive
2151,neutral
2152,positive
2153,positive
2154,neutral
2155,positive
2156,neutral
2157,neutral
2158,neutral
2159,neutral
2160,positive
2161,neutral
2162,positive
2163,neutral
2164,neutral
2165,positive
2166,neutral
2167,neutral
2168,neutral
2169,positive
2170,neutral
2171,positive
2172,neutral
2173,positive
2174,neutral
2175,negative
2176,positive
2177,neutral
2178,neutral
2179,positive
2180,neutral
2181,positive
2182,neutral
2183,neutral
2184,positive
2185,neutral
2186,neutral
2187,positive
2188,positive
2189,neutral
2190,neutral
2191,positive
2192,positive
2193,neutral
2194,neutral
2195,neutral
2196,positive
2197,positive
2198,neutral
2199,neutral
2200,neutral
2201,neutral
2202,positive
2203,neutral
2204,neutral
2205,positive
2206,positive
2207,positive
2208,neutral
2209,positive
2210,neutral
2211,positive
2212,positive
2213,neutral
2214,neutral
2215,positive
2216,neutral
2217,neutral
2218,neutral
2219,positive
2220,neutral
2221,positive
2222,positive
2223,positive
2224,negative
2225,neutral
2226,positive
2227,neutral
2228,neutral
2229,neutral
2230,neutral
2231,neutral
2232,neutral
2233,neutral
2234,neutral
2235,neutral
2236,neutral
2237,positive
2238,neutral
2239,negative
2240,neutral
2241,neutral
2242,neutral
2243,neutral
2244,positive
2245,positive
2246,positive
2247,neutral
2248,neutral
2249,neutral
2250,negative
2251,positive
2252,negative
2253,neutral
2254,neutral
2255,neutral
2256,positive
2257,neutral
2258,positive
2259,positive
2260,neutral
2261,positive
2262,neutral
2263,neutral
2264,neutral
2265,neutral
2266,neutral
2267,positive
2268,positive
2269,neutral
2270,neutral
2271,positive
